dc_id,annual_units,mean_peak_daily_units,p50_peak_daily_units,p95_peak_daily_units,p99_peak_daily_units,throughput_cap_pallets,storage_positions,dc_fixed_cost_eur,dc_storage_cost_eur,dc_throughput_cost_eur,dc_pick_cost_eur,dc_total_cost_eur
CAND_DE_koeln,109711.0,4747.0,4747.0,4747.0,4747.0,1584,702,600000,77220,39600,329133.0,1210527.0
CAND_ES_madrid,22305.0,965.0,965.0,965.0,965.0,322,143,600000,15730,8050,66914.0,724156.0
CAND_IT_rome,34545.0,1495.0,1495.0,1495.0,1495.0,500,221,600000,24310,12500,103636.0,792268.0
CAND_PL_lodz,51905.0,2246.0,2246.0,2246.0,2246.0,750,332,600000,36520,18750,155716.0,888845.0
