year,pi_realized_total,pi_revenue_eur,active_service_nodes,route_backed_nodes,route_backed_share_pct,mean_purchase_prob
2027,28602.0,12973872.0,76,76,100.0,1.0
2028,69298.0,31433412.0,125,124,99.2,0.9991
2029,146859.0,66615143.0,255,248,97.25,0.9953
2030,218466.0,99096140.0,302,293,97.02,0.9966
2031,262259.0,118960731.0,302,293,97.02,0.9966
2032,288866.0,131029494.0,302,293,97.02,0.9966
2033,312120.0,141577750.0,302,293,97.02,0.9966
2034,335411.0,152142403.0,302,293,97.02,0.9966
