year,annual_units,pallets_nonpi,pallets_pi,pallet_saving_pct,teus_nonpi,teus_pi,teu_saving_pct,vol_per_unit_nonpi_cm3,vol_per_unit_pi_cm3,vol_saving_per_unit_cm3,vol_saving_pct,pack_cost_saving_eur,container_saving_eur
2027,28602.0,7151,4767,33.3,372,157,57.8,288000,172800,115200,40.0,371826.0,494500.0
2028,69297.0,17325,11550,33.3,900,379,57.9,288000,172800,115200,40.0,900861.0,1198300.0
2029,146859.0,36715,24477,33.3,1908,803,57.9,288000,172800,115200,40.0,1909167.0,2541500.0
2030,218466.0,54617,36411,33.3,2838,1194,57.9,288000,172800,115200,40.0,2840058.0,3781200.0
2031,262258.0,65565,43710,33.3,3406,1434,57.9,288000,172800,115200,40.0,3409354.0,4535600.0
2032,288866.0,72217,48145,33.3,3752,1579,57.9,288000,172800,115200,40.0,3755258.0,4997900.0
2033,312120.0,78030,52020,33.3,4054,1706,57.9,288000,172800,115200,40.0,4057560.0,5400400.0
2034,335412.0,83853,55902,33.3,4356,1833,57.9,288000,172800,115200,40.0,4360356.0,5802900.0
