year,node_id,node_type,service_class,pop_bracket,country,assigned_dc_id,route_id,service_mode,route_backed,n_relay_hubs,n_consol_hubs,route_drive_hr,total_hub_dwell_hr,travel_elapsed_hr,last_mile_hr,otd_hours,otd_bucket,purchase_prob,annual_potential_units,annual_realized_units
2030,METRO_PL_sosnowiec,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_sosnowiec__DIRECT,DIRECT,True,0,1,2.004,2.0,4.004,1.0,5.004,0,1.0,125.0190140331602,125.0190140331602
2030,METRO_PL_radom,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_radom__DIRECT,DIRECT,True,0,1,1.472,2.0,3.472,1.0,4.4719999999999995,0,1.0,126.05222902516981,126.05222902516981
2030,METRO_PL_mokotow,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_mokotow__DIRECT,DIRECT,True,0,1,1.401,2.0,3.401,1.0,4.401,0,1.0,119.85293907311227,119.85293907311227
2030,METRO_PL_torun,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_torun__DIRECT,DIRECT,True,0,1,1.805,2.0,3.805,1.0,4.805,0,1.0,117.7865090890931,117.7865090890931
2030,METRO_PL_kielce,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_kielce__DIRECT,DIRECT,True,0,1,1.539,2.0,3.539,1.0,4.539,0,1.0,116.7532940970835,116.7532940970835
2030,METRO_PL_gliwice,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_gliwice__DIRECT,DIRECT,True,0,1,2.076,2.0,4.076,1.0,5.076,0,1.0,109.5207891530164,109.5207891530164
2030,METRO_PL_zabrze,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_zabrze__DIRECT,DIRECT,True,0,1,2.014,2.0,4.014,1.0,5.014,0,1.0,106.42114417698762,106.42114417698762
2030,METRO_PL_bytom,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_bytom__DIRECT,DIRECT,True,0,1,1.952,2.0,3.952,1.0,4.952,0,1.0,103.32149920095885,103.32149920095885
2030,METRO_PL_praga_poludnie,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_praga_poludnie__DIRECT,DIRECT,True,0,1,1.467,2.0,3.467,1.0,4.4670000000000005,0,1.0,105.38792918497803,105.38792918497803
2030,METRO_PL_bielsko_biala,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_bielsko_biala__DIRECT,DIRECT,True,0,1,2.624,2.0,4.624,1.0,5.624,0,1.0,99.1886392329205,99.1886392329205
2030,METRO_PL_olsztyn,metro,METRO_<250K,<250K,PL,CAND_PL_lodz,CAND_PL_lodz__METRO_PL_olsztyn__DIRECT,DIRECT,True,0,1,2.805,2.0,4.805,1.0,5.805,0,1.0,97.12220924890133,97.12220924890133
2030,METRO_SE_stockholm,metro,METRO_1M+,1M+,SE,CAND_PL_lodz,CAND_PL_lodz__METRO_SE_stockholm__VIA_RELAY,VIA_RELAY,True,1,1,10.317,3.0,13.317,4.0,17.317,0,1.0,936.1985698852773,936.1985698852773
2030,METRO_SE_gothenburg,metro,METRO_250K-1M,250K-1M,SE,CAND_PL_lodz,CAND_PL_lodz__METRO_SE_gothenburg__VIA_RELAY,VIA_RELAY,True,1,1,9.815,3.0,12.815,2.0,14.815,0,1.0,346.2907970363289,346.2907970363289
2030,METRO_SE_malmo,metro,METRO_250K-1M,250K-1M,SE,CAND_PL_lodz,CAND_PL_lodz__METRO_SE_malmo__VIA_RELAY,VIA_RELAY,True,1,1,7.231,3.0,10.231,2.0,12.231,0,1.0,182.0126830783939,182.0126830783939
2030,METRO_AT_vienna,metro,METRO_1M+,1M+,AT,CAND_PL_lodz,CAND_PL_lodz__METRO_AT_vienna__VIA_RELAY,VIA_RELAY,True,1,1,5.543,3.0,8.543,4.0,12.543,0,1.0,912.7584378662658,912.7584378662658
2030,METRO_AT_graz,metro,METRO_<250K,<250K,AT,CAND_PL_lodz,CAND_PL_lodz__METRO_AT_graz__VIA_RELAY,VIA_RELAY,True,1,1,7.18,3.0,10.18,1.0,11.18,0,1.0,103.36794274981216,103.36794274981216
2030,METRO_AT_linz,metro,METRO_<250K,<250K,AT,CAND_PL_lodz,CAND_PL_lodz__METRO_AT_linz__VIA_RELAY,VIA_RELAY,True,1,1,6.41,3.0,9.41,1.0,10.41,0,1.0,91.66591149511643,91.66591149511643
2030,METRO_AT_favoriten,metro,METRO_<250K,<250K,AT,CAND_PL_lodz,CAND_PL_lodz__METRO_AT_favoriten__VIA_RELAY,VIA_RELAY,True,1,1,5.498,3.0,8.498,1.0,9.498,0,1.0,94.59141930879036,94.59141930879036
2030,METRO_AT_donaustadt,metro,METRO_<250K,<250K,AT,CAND_PL_lodz,CAND_PL_lodz__METRO_AT_donaustadt__VIA_RELAY,VIA_RELAY,True,1,1,5.5,3.0,8.5,1.0,9.5,0,1.0,95.56658858001501,95.56658858001501
