year,cluster,annual_demand_mean,annual_demand_p99,daily_production_mean,daily_production_99robust,robustness_buffer_pct
2027,Cluster_1,16849.14459134998,17458.78881512234,47.596453647881305,49.31861247209701,3.6182502943522765
2027,Cluster_2,11270.961861150023,12006.726839670684,31.838875313983117,33.91730745669685,6.527969729511507
2028,Cluster_1,40635.714896819176,42773.70373110336,114.79015507576038,120.82967155678914,5.261354056924783
2028,Cluster_2,27154.89711193083,28949.861208020127,76.7087489037594,81.7792689492094,6.610093526374139
2029,Cluster_1,85312.37757877732,88696.45283083207,240.99541688920146,250.55495149952563,3.9666873062234265
2029,Cluster_2,56827.66442647271,60107.01619848299,160.53012549851047,169.793831069161,5.770696024738653
2030,Cluster_1,127207.46793644769,131233.36070609398,359.34312976397655,370.71570820930503,3.16482423159119
2030,Cluster_2,84722.83715305233,90111.60121131653,239.3300484549501,254.55254579467947,6.360462231133002
2031,Cluster_1,151690.6095614522,156605.17433614298,428.5045467837633,442.3874981246977,3.2398609174945747
2031,Cluster_2,102328.10306279782,107718.69627664804,289.06243803050234,304.2901024764069,5.267949910634107
2032,Cluster_1,167624.81969286504,173745.1979466459,473.51643981035323,490.80564391707884,3.651236293643789
2032,Cluster_2,112048.26986813506,117670.32295602039,316.52053635066403,332.40204224864516,5.01752779806568
2033,Cluster_1,181217.05132929792,187328.13869927774,511.9125743765478,529.1755330488072,3.3722474376183698
2033,Cluster_2,120971.58155395216,126991.70205709485,341.7276315083394,358.7336216302115,4.976474991738278
2034,Cluster_1,194892.91272373547,203195.24954459388,550.5449511969929,573.9978800694743,4.2599480426603
2034,Cluster_2,129849.89654876463,136068.11781534294,366.8076173693916,384.3732141676354,4.788776450232346
