year,lane_id,lane_type,truck_class,road_km,drive_time_hr,relay_flag,annual_flow,transport_cost_eur,co2_kg
2028,PORT_NL_rotterdam__CAND_DE_koeln,PORT_DC,L,244.27,2.443,False,0.0,0.0,0.0
2028,PORT_NL_rotterdam__CAND_PL_lodz,PORT_DC,L,1234.02,12.34,False,0.0,0.0,0.0
2028,CAND_DE_koeln__CAND_PL_lodz,DC_DC,L,1048.32,10.483,False,618.0,124173.5,66945.7
2028,CAND_PL_lodz__CAND_DE_koeln,DC_DC,L,1048.32,10.483,False,253.0,51839.42,27948.2
2028,CAND_DE_koeln__METRO_BE_brussels,DC_HUB_DIRECT,M,219.21,2.192,False,618.0,16933.97,9257.2
2028,CAND_DE_koeln__METRO_BE_antwerp,DC_HUB_DIRECT,M,216.87,2.169,False,618.0,16753.21,9158.4
2028,CAND_DE_koeln__METRO_BE_liege,DC_HUB_DIRECT,M,123.29,1.233,False,618.0,9524.15,5206.5
2028,CAND_DE_koeln__METRO_BE_gent,DC_HUB_DIRECT,M,271.98,2.72,False,618.0,21010.46,11485.7
2028,CAND_DE_koeln__METRO_BE_charleroi,DC_HUB_DIRECT,M,223.02,2.23,False,618.0,17228.3,9418.1
2028,CAND_DE_koeln__METRO_DE_frankfurt_am_main,DC_HUB_DIRECT,M,183.16,1.832,False,618.0,14149.11,7734.8
2028,CAND_DE_koeln__METRO_DE_duesseldorf,DC_HUB_DIRECT,M,41.15,0.411,False,618.0,3178.84,1737.8
2028,CAND_DE_koeln__METRO_DE_stuttgart,DC_HUB_DIRECT,M,345.04,3.45,False,618.0,26654.34,14571.0
2028,CAND_DE_koeln__METRO_DE_dortmund,DC_HUB_DIRECT,M,88.78,0.888,False,618.0,6858.26,3749.2
2028,CAND_DE_koeln__METRO_DE_essen,DC_HUB_DIRECT,M,70.02,0.7,False,618.0,5409.04,2956.9
2028,CAND_DE_koeln__METRO_DE_bremen,DC_HUB_DIRECT,M,323.96,3.24,False,618.0,25025.91,13680.8
2028,CAND_DE_koeln__METRO_DE_hannover,DC_HUB_DIRECT,M,299.74,2.997,False,618.0,23154.92,12658.0
2028,CAND_DE_koeln__METRO_DE_duisburg,DC_HUB_DIRECT,M,68.38,0.684,False,618.0,5282.36,2887.7
2028,CAND_DE_koeln__METRO_DE_bochum,DC_HUB_DIRECT,M,76.49,0.765,False,618.0,5908.85,3230.2
2028,CAND_DE_koeln__METRO_DE_bochum_hordel,DC_HUB_DIRECT,M,78.15,0.782,False,618.0,6037.09,3300.3
2028,CAND_DE_koeln__METRO_DE_mannheim,DC_HUB_DIRECT,M,232.18,2.322,False,618.0,17935.9,9805.0
2028,CAND_DE_koeln__METRO_DE_wuppertal,DC_HUB_DIRECT,M,46.19,0.462,False,618.0,3568.18,1950.6
2028,CAND_DE_koeln__METRO_DE_bielefeld,DC_HUB_DIRECT,M,197.1,1.971,False,618.0,15225.97,8323.5
2028,CAND_DE_koeln__METRO_DE_karlsruhe,DC_HUB_DIRECT,M,285.44,2.854,False,618.0,22050.24,12054.1
2028,CAND_DE_koeln__METRO_DE_bonn,DC_HUB_DIRECT,M,29.24,0.292,False,618.0,2258.79,1234.8
2028,CAND_DE_koeln__METRO_DE_wiesbaden,DC_HUB_DIRECT,M,158.24,1.582,False,618.0,12224.04,6682.5
2028,CAND_DE_koeln__METRO_DE_muenster,DC_HUB_DIRECT,M,148.37,1.484,False,618.0,11461.58,6265.7
2028,CAND_DE_koeln__METRO_DE_gelsenkirchen,DC_HUB_DIRECT,M,77.27,0.773,False,618.0,5969.11,3263.1
2028,CAND_DE_koeln__METRO_DE_aachen,DC_HUB_DIRECT,M,75.93,0.759,False,618.0,5865.59,3206.5
2028,CAND_DE_koeln__METRO_DE_moenchengladbach,DC_HUB_DIRECT,M,54.3,0.543,False,618.0,4194.67,2293.1
2028,CAND_DE_koeln__METRO_DE_braunschweig,DC_HUB_DIRECT,M,345.63,3.456,False,618.0,26699.92,14596.0
2028,CAND_DE_koeln__METRO_DE_krefeld,DC_HUB_DIRECT,M,63.19,0.632,False,618.0,4881.43,2668.5
2028,CAND_DE_koeln__METRO_DE_oberhausen,DC_HUB_DIRECT,M,73.06,0.731,False,618.0,5643.88,3085.3
2028,CAND_DE_koeln__METRO_DE_freiburg,DC_HUB_DIRECT,M,399.67,3.997,False,618.0,30874.51,16878.1
