dc_id,annual_units,mean_peak_daily_units,p50_peak_daily_units,p95_peak_daily_units,p99_peak_daily_units,throughput_cap_pallets,storage_positions,dc_fixed_cost_eur,dc_storage_cost_eur,dc_throughput_cost_eur,dc_pick_cost_eur,dc_total_cost_eur
CAND_DE_koeln,94415.0,4085.0,4085.0,4085.0,4085.0,1362,604,600000,66440,34050,283246.0,1125360.0
CAND_ES_madrid,12894.0,558.0,558.0,558.0,558.0,186,83,600000,9130,4650,38683.0,671813.0
CAND_PL_lodz,30886.0,1336.0,1336.0,1336.0,1336.0,446,198,600000,21780,11150,92657.0,771919.0
