node_id,origin_dc,service_mode,pop_bracket,pi_promise_hr,mean_drive_hr,road_km,attainment_rate,p5_elapsed_hr,p50_elapsed_hr,p95_elapsed_hr,promise_gap_hr
METRO_BE_antwerp,CAND_DE_koeln,DIRECT,1M+,4.0,2.169,180.7,0.4,3.746,4.293,5.031,0.293
METRO_BE_brussels,CAND_DE_koeln,DIRECT,1M+,4.0,2.192,182.7,0.4,3.944,4.262,4.616,0.262
METRO_BE_charleroi,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.23,185.8,0.0,3.66,3.82,4.272,1.82
METRO_BE_gent,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.72,226.6,0.0,4.11,4.542,4.887,2.542
METRO_BE_liege,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.233,102.7,0.0,3.267,3.434,3.543,1.434
METRO_DE_aachen,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.759,63.3,0.0,2.324,2.889,3.18,0.889
METRO_DE_altona,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.258,354.9,0.0,7.827,8.053,8.726,6.053
METRO_DE_augsburg,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.828,402.4,0.0,8.092,8.508,9.227,6.508
METRO_DE_berlin,CAND_DE_koeln,VIA_HUB_CORRIDOR,1M+,4.0,5.794,482.9,0.0,9.051,9.407,10.294,5.407
METRO_DE_bielefeld,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.971,164.2,0.0,3.617,4.147,4.915,2.147
METRO_DE_bochum,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.765,63.7,0.0,2.276,2.463,3.13,0.463
METRO_DE_bochum_hordel,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.782,65.1,0.0,2.656,2.924,3.121,0.924
METRO_DE_bonn,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.292,24.4,0.4,1.981,2.125,2.621,0.125
METRO_DE_braunschweig,CAND_DE_koeln,DIRECT,<250K,1.0,3.456,288.0,0.0,4.815,5.018,5.914,4.018
METRO_DE_bremen,CAND_DE_koeln,DIRECT,250K-1M,2.0,3.24,270.0,0.0,4.579,5.107,6.254,3.107
METRO_DE_chemnitz,CAND_DE_koeln,VIA_HUB_CORRIDOR,<250K,1.0,5.039,419.9,0.0,8.394,8.942,9.276,7.942
METRO_DE_dortmund,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.888,74.0,0.0,2.367,2.576,3.279,0.576
METRO_DE_dresden,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,5.705,475.4,0.0,9.696,10.407,11.336,8.407
METRO_DE_duesseldorf,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.411,34.3,0.0,2.217,2.741,2.826,0.741
METRO_DE_duisburg,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.684,57.0,0.0,2.205,2.574,2.875,0.574
METRO_DE_eimsbuettel,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.295,358.0,0.0,7.437,8.392,9.066,6.392
METRO_DE_erfurt,CAND_DE_koeln,DIRECT,<250K,1.0,3.432,286.0,0.0,5.431,5.693,5.919,4.693
METRO_DE_essen,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.7,58.4,0.0,2.338,2.742,2.785,0.742
METRO_DE_frankfurt_am_main,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.832,152.6,0.0,3.802,4.198,4.361,2.198
METRO_DE_freiburg,CAND_DE_koeln,DIRECT,<250K,1.0,3.997,333.1,0.0,5.554,5.998,6.454,4.998
METRO_DE_gelsenkirchen,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.773,64.4,0.0,2.452,3.066,3.188,1.066
METRO_DE_hagen,CAND_DE_koeln,DIRECT,<250K,1.0,0.718,59.9,0.0,2.395,2.473,2.826,1.473
METRO_DE_halle_saale,CAND_DE_koeln,VIA_HUB_CORRIDOR,<250K,1.0,4.272,356.0,0.0,7.529,7.766,9.347,6.766
METRO_DE_hamburg,CAND_DE_koeln,VIA_HUB_CORRIDOR,1M+,4.0,4.323,360.3,0.0,7.42,8.328,9.122,4.328
METRO_DE_hamburg_mitte,CAND_DE_koeln,VIA_HUB_CORRIDOR,<250K,1.0,4.297,358.2,0.0,7.962,8.876,9.923,7.876
METRO_DE_hamburg_nord,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.324,360.4,0.0,7.065,7.928,8.333,5.928
METRO_DE_hamm,CAND_DE_koeln,DIRECT,<250K,1.0,1.233,102.8,0.0,2.92,3.071,3.321,2.071
METRO_DE_hannover,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.997,249.8,0.0,4.532,4.99,5.142,2.99
METRO_DE_harburg,CAND_DE_koeln,VIA_HUB_CORRIDOR,<250K,1.0,4.186,348.9,0.0,8.169,8.835,9.407,7.835
METRO_DE_herne,CAND_DE_koeln,DIRECT,<250K,1.0,0.84,70.0,0.0,2.26,2.611,2.875,1.611
METRO_DE_karlsruhe,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.854,237.9,0.0,3.969,4.568,5.371,2.568
METRO_DE_kassel,CAND_DE_koeln,DIRECT,<250K,1.0,2.196,183.0,0.0,3.599,4.327,4.81,3.327
METRO_DE_kiel,CAND_DE_koeln,VIA_HUB_CORRIDOR,<250K,1.0,5.205,433.8,0.0,8.667,8.983,9.042,7.983
METRO_DE_krefeld,CAND_DE_koeln,DIRECT,<250K,1.0,0.632,52.7,0.0,2.242,2.719,3.003,1.719
METRO_DE_leipzig,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.59,382.5,0.0,7.638,8.797,8.845,6.797
METRO_DE_luebeck,CAND_DE_koeln,VIA_HUB_CORRIDOR,<250K,1.0,4.97,414.2,0.0,8.938,9.174,9.434,8.174
METRO_DE_magdeburg,CAND_DE_koeln,VIA_HUB_CORRIDOR,<250K,1.0,4.262,355.2,0.0,7.059,7.465,8.925,6.465
METRO_DE_mainz,CAND_DE_koeln,DIRECT,<250K,1.0,1.697,141.4,0.0,3.285,3.506,4.41,2.506
METRO_DE_mannheim,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.322,193.5,0.0,3.802,3.967,4.616,1.967
METRO_DE_marienthal,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.346,362.2,0.0,7.708,8.618,9.081,6.618
METRO_DE_moenchengladbach,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.543,45.2,0.0,2.077,2.652,2.955,0.652
METRO_DE_muelheim,CAND_DE_koeln,DIRECT,<250K,1.0,0.668,55.7,0.0,2.358,2.743,3.133,1.743
METRO_DE_muenster,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.484,123.6,0.0,3.198,3.521,3.721,1.521
METRO_DE_munich,CAND_DE_koeln,VIA_HUB_CORRIDOR,1M+,4.0,5.595,466.2,0.0,9.445,9.737,10.787,5.737
METRO_DE_neue_neustadt,CAND_DE_koeln,VIA_HUB_CORRIDOR,<250K,1.0,4.28,356.7,0.0,7.884,8.168,9.201,7.168
METRO_DE_neukoelln,CAND_DE_koeln,VIA_HUB_CORRIDOR,<250K,1.0,5.784,482.0,0.0,8.736,9.224,10.339,8.224
METRO_DE_nuernberg,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.075,339.5,0.0,6.98,7.777,8.942,5.777
METRO_DE_oberhausen,CAND_DE_koeln,DIRECT,<250K,1.0,0.731,60.9,0.0,2.666,2.958,3.184,1.958
METRO_DE_osnabrueck,CAND_DE_koeln,DIRECT,<250K,1.0,2.006,167.2,0.0,3.548,4.055,4.224,3.055
METRO_DE_rostock,CAND_DE_koeln,VIA_HUB_CORRIDOR,<250K,1.0,5.989,499.1,0.0,8.833,10.287,10.806,9.287
METRO_DE_saarbruecken,CAND_DE_koeln,DIRECT,<250K,1.0,2.27,189.2,0.0,3.78,4.552,4.766,3.552
METRO_DE_solingen,CAND_DE_koeln,DIRECT,<250K,1.0,0.34,28.3,0.0,2.059,2.104,2.418,1.104
METRO_DE_stuttgart,CAND_DE_koeln,DIRECT,250K-1M,2.0,3.45,287.5,0.0,5.446,5.824,6.123,3.824
METRO_DE_wandsbek,CAND_DE_koeln,VIA_HUB_CORRIDOR,250K-1M,2.0,4.364,363.7,0.0,7.663,8.132,9.445,6.132
METRO_DE_wiesbaden,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.582,131.9,0.0,3.184,3.546,3.73,1.546
METRO_DE_wuppertal,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.462,38.5,0.4,1.892,2.118,2.933,0.118
METRO_LU_luxembourg,CAND_DE_koeln,DIRECT,<250K,1.0,1.897,158.1,0.0,3.863,4.132,4.259,3.132
METRO_NL_almere_stad,CAND_DE_koeln,DIRECT,<250K,1.0,2.396,199.7,0.0,4.204,4.829,5.063,3.829
METRO_NL_amsterdam,CAND_DE_koeln,DIRECT,1M+,4.0,2.57,214.2,0.0,4.266,4.537,4.877,0.537
METRO_NL_breda,CAND_DE_koeln,DIRECT,<250K,1.0,2.014,167.8,0.0,4.032,4.224,4.321,3.224
METRO_NL_eindhoven,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.405,117.1,0.0,2.988,3.471,3.649,1.471
METRO_NL_groningen,CAND_DE_koeln,DIRECT,<250K,1.0,3.066,255.5,0.0,4.69,5.06,5.302,4.06
METRO_NL_rotterdam,CAND_DE_koeln,DIRECT,1M+,4.0,2.443,203.6,0.0,4.123,4.463,4.725,0.463
METRO_NL_the_hague,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.679,223.2,0.0,4.173,4.727,5.088,2.727
METRO_NL_tilburg,CAND_DE_koeln,DIRECT,<250K,1.0,1.761,146.7,0.0,3.311,3.618,3.974,2.618
METRO_NL_utrecht,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.165,180.4,0.0,3.914,4.088,4.765,2.088
