year,lane_id,lane_type,truck_class,road_km,drive_time_hr,relay_flag,annual_flow,transport_cost_eur,co2_kg
2033,PORT_NL_rotterdam__CAND_DE_koeln,PORT_DC,L,244.27,2.443,False,0.0,0.0,0.0
2033,PORT_NL_rotterdam__CAND_PL_lodz,PORT_DC,L,1234.02,12.34,False,0.0,0.0,0.0
2033,PORT_NL_rotterdam__CAND_ES_madrid,PORT_DC,L,1708.81,17.088,False,0.0,0.0,0.0
2033,PORT_NL_rotterdam__CAND_IT_rome,PORT_DC,L,1523.47,15.235,False,0.0,0.0,0.0
2033,CAND_DE_koeln__CAND_PL_lodz,DC_DC,L,1048.32,10.483,False,950.0,191685.31,103343.4
2033,CAND_PL_lodz__CAND_DE_koeln,DC_DC,L,1048.32,10.483,False,761.0,153107.14,82544.7
2033,CAND_DE_koeln__CAND_ES_madrid,DC_DC,L,1715.43,17.154,True,950.0,313666.38,169107.1
2033,CAND_ES_madrid__CAND_DE_koeln,DC_DC,L,1715.43,17.154,True,663.0,218974.64,118055.9
2033,CAND_DE_koeln__CAND_IT_rome,DC_DC,L,1309.5,13.095,True,950.0,239442.08,129090.5
2033,CAND_IT_rome__CAND_DE_koeln,DC_DC,L,1309.5,13.095,True,716.0,180711.0,97426.8
2033,CAND_PL_lodz__CAND_ES_madrid,DC_DC,L,2607.32,26.073,True,761.0,380799.09,205300.4
2033,CAND_ES_madrid__CAND_PL_lodz,DC_DC,L,2607.32,26.073,True,663.0,332824.4,179435.8
2033,CAND_PL_lodz__CAND_IT_rome,DC_DC,L,1461.79,14.618,True,761.0,213494.43,115101.3
2033,CAND_IT_rome__CAND_PL_lodz,DC_DC,L,1461.79,14.618,True,716.0,201727.02,108757.2
2033,CAND_ES_madrid__CAND_IT_rome,DC_DC,L,1638.33,16.383,True,663.0,209132.82,112749.9
2033,CAND_IT_rome__CAND_ES_madrid,DC_DC,L,1638.33,16.383,True,716.0,226089.54,121891.8
2033,CAND_DE_koeln__METRO_BE_brussels,DC_HUB_DIRECT,M,219.21,2.192,False,950.0,26140.79,14290.3
2033,CAND_DE_koeln__METRO_BE_antwerp,DC_HUB_DIRECT,M,216.87,2.169,False,950.0,25861.75,14137.8
2033,CAND_DE_koeln__METRO_BE_liege,DC_HUB_DIRECT,M,123.29,1.233,False,950.0,14702.33,8037.3
2033,CAND_DE_koeln__METRO_BE_gent,DC_HUB_DIRECT,M,271.98,2.72,False,950.0,32433.62,17730.4
2033,CAND_DE_koeln__METRO_BE_charleroi,DC_HUB_DIRECT,M,223.02,2.23,False,950.0,26595.14,14538.7
2033,CAND_DE_koeln__METRO_DE_frankfurt_am_main,DC_HUB_DIRECT,M,183.16,1.832,False,950.0,21841.83,11940.2
2033,CAND_DE_koeln__METRO_DE_duesseldorf,DC_HUB_DIRECT,M,41.15,0.411,False,950.0,4907.14,2682.6
2033,CAND_DE_koeln__METRO_DE_stuttgart,DC_HUB_DIRECT,M,345.04,3.45,False,950.0,41146.02,22493.2
