year,total_transport_eur,total_co2_kg,total_road_km,total_flow_units,total_truckloads,cost_per_unit_eur,co2_per_unit_kg
2027,761604.0,245648.0,12632.0,60096.0,5442.0,12.673,4.0876
2028,3026147.0,1232890.0,25750.0,152805.0,14358.0,19.804,8.0684
2029,10618932.0,4881547.0,65041.0,364861.0,37271.0,29.104,13.3792
2030,15131192.0,6901220.0,78853.0,540520.0,55045.0,27.9938,12.7677
2031,18874239.0,8667652.0,78853.0,656132.0,67249.0,28.7659,13.2102
2032,20970953.0,9644923.0,78853.0,724302.0,74324.0,28.9533,13.3162
2033,22660359.0,10423383.0,78853.0,782662.0,80299.0,28.9529,13.3179
2034,24355484.0,11202802.0,78853.0,841047.0,86288.0,28.9585,13.3201
