year,lane_id,lane_type,truck_class,road_km,drive_time_hr,relay_flag,annual_flow,transport_cost_eur,co2_kg
2029,CAND_DE_koeln__METRO_NL_rotterdam,DC_HUB_DIRECT,M,244.27,2.443,False,724.0,22167.5,12118.2
2029,CAND_DE_koeln__METRO_NL_the_hague,DC_HUB_DIRECT,M,267.87,2.679,False,724.0,24309.2,13289.0
2029,CAND_DE_koeln__METRO_NL_utrecht,DC_HUB_DIRECT,M,216.53,2.165,False,724.0,19650.1,10742.1
2029,CAND_DE_koeln__METRO_NL_eindhoven,DC_HUB_DIRECT,M,140.52,1.405,False,724.0,12752.19,6971.2
2029,CAND_DE_koeln__METRO_NL_tilburg,DC_HUB_DIRECT,M,176.05,1.761,False,724.0,15976.54,8733.8
2029,CAND_DE_koeln__METRO_NL_groningen,DC_HUB_DIRECT,M,306.63,3.066,False,724.0,27826.67,15211.9
2029,CAND_DE_koeln__METRO_NL_almere_stad,DC_HUB_DIRECT,M,239.61,2.396,False,724.0,21744.61,11887.1
2029,CAND_DE_koeln__METRO_NL_breda,DC_HUB_DIRECT,M,201.37,2.014,False,724.0,18274.33,9990.0
2029,CAND_DE_koeln__METRO_FR_lille,DC_HUB_DIRECT,M,330.69,3.307,False,724.0,30010.12,16405.5
2029,CAND_DE_koeln__METRO_FR_strasbourg,DC_HUB_DIRECT,M,320.9,3.209,False,724.0,29121.68,15919.8
2029,CAND_DE_koeln__METRO_FR_bethune,DC_HUB_DIRECT,M,368.39,3.684,False,724.0,33431.39,18275.8
2029,CAND_DE_koeln__METRO_FR_valenciennes,DC_HUB_DIRECT,M,299.38,2.994,False,724.0,27168.74,14852.2
2029,CAND_DE_koeln__METRO_FR_reims,DC_HUB_DIRECT,M,335.8,3.358,False,724.0,30473.85,16659.0
2029,CAND_DE_koeln__METRO_LU_luxembourg,DC_HUB_DIRECT,M,189.7,1.897,False,724.0,17215.27,9411.0
2029,CAND_PL_lodz__METRO_PL_warsaw,DC_HUB_DIRECT,M,140.41,1.404,False,427.0,7582.14,4144.9
