year,node_id,node_type,service_class,pop_bracket,country,assigned_dc_id,route_id,service_mode,route_backed,n_relay_hubs,n_consol_hubs,route_drive_hr,total_hub_dwell_hr,travel_elapsed_hr,last_mile_hr,otd_hours,otd_bucket,purchase_prob,annual_potential_units,annual_realized_units
2031,METRO_BE_brussels,metro,METRO_1M+,1M+,BE,CAND_DE_koeln,CAND_DE_koeln__METRO_BE_brussels__DIRECT,DIRECT,True,0,1,2.192,2.0,4.192,4.0,8.192,0,1.0,1410.5290115034527,1410.5290115034527
2031,METRO_BE_antwerp,metro,METRO_1M+,1M+,BE,CAND_DE_koeln,CAND_DE_koeln__METRO_BE_antwerp__DIRECT,DIRECT,True,0,1,2.169,2.0,4.169,4.0,8.169,0,1.0,698.839531277464,698.839531277464
2031,METRO_BE_liege,metro,METRO_250K-1M,250K-1M,BE,CAND_DE_koeln,CAND_DE_koeln__METRO_BE_liege__DIRECT,DIRECT,True,0,1,1.233,2.0,3.233,2.0,5.2330000000000005,0,1.0,450.7366708097928,450.7366708097928
2031,METRO_BE_gent,metro,METRO_250K-1M,250K-1M,BE,CAND_DE_koeln,CAND_DE_koeln__METRO_BE_gent__DIRECT,DIRECT,True,0,1,2.72,2.0,4.72,2.0,6.72,0,1.0,315.31797804457,315.31797804457
2031,METRO_BE_charleroi,metro,METRO_250K-1M,250K-1M,BE,CAND_DE_koeln,CAND_DE_koeln__METRO_BE_charleroi__DIRECT,DIRECT,True,0,1,2.23,2.0,4.23,2.0,6.23,0,1.0,273.80275836472066,273.80275836472066
2031,METRO_DE_berlin,metro,METRO_1M+,1M+,DE,CAND_PL_lodz,CAND_PL_lodz__METRO_DE_berlin__VIA_RELAY,VIA_RELAY,True,1,1,5.103,3.0,8.103,4.0,12.103,0,1.0,2233.3448029390374,2233.3448029390374
2031,METRO_DE_hamburg,metro,METRO_1M+,1M+,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_hamburg__VIA_RELAY,VIA_RELAY,True,1,1,5.239,3.0,8.239,4.0,12.239,0,1.0,1112.3830068415948,1112.3830068415948
2031,METRO_DE_munich,metro,METRO_1M+,1M+,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_munich__VIA_RELAY,VIA_RELAY,True,1,1,5.472,3.0,8.472,4.0,12.472,0,1.0,1004.6715417403949,1004.6715417403949
2031,METRO_DE_koeln,metro,METRO_UNKNOWN,,DE,CAND_DE_koeln,SELF::CAND_DE_koeln,DC_LOCAL,True,0,1,0.0,0.0,0.0,1.0,1.0,0,1.0,606.2344407465762,606.2344407465762
2031,METRO_DE_frankfurt_am_main,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_frankfurt_am_main__DIRECT,DIRECT,True,0,1,1.832,2.0,3.832,2.0,5.832,0,1.0,451.81623414131616,451.81623414131616
2031,METRO_DE_duesseldorf,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_duesseldorf__DIRECT,DIRECT,True,0,1,0.411,2.0,2.411,2.0,4.411,0,1.0,403.2030950248454,403.2030950248454
2031,METRO_DE_stuttgart,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_stuttgart__DIRECT,DIRECT,True,0,1,3.45,2.0,5.45,2.0,7.45,0,1.0,397.4839021876136,397.4839021876136
2031,METRO_DE_leipzig,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_leipzig__VIA_RELAY,VIA_RELAY,True,1,1,4.59,3.0,7.59,2.0,9.59,0,1.0,384.1391189007393,384.1391189007393
2031,METRO_DE_dresden,metro,METRO_250K-1M,250K-1M,DE,CAND_PL_lodz,CAND_PL_lodz__METRO_DE_dresden__VIA_RELAY,VIA_RELAY,True,1,1,4.868,3.0,7.868,2.0,9.868,0,1.0,375.5603296448915,375.5603296448915
2031,METRO_DE_dortmund,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_dortmund__DIRECT,DIRECT,True,0,1,0.888,2.0,2.888,2.0,4.888,0,1.0,367.93473919524905,367.93473919524905
2031,METRO_DE_essen,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_essen__DIRECT,DIRECT,True,0,1,0.7,2.0,2.7,2.0,4.7,0,1.0,361.26234755181184,361.26234755181184
2031,METRO_DE_bremen,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_bremen__DIRECT,DIRECT,True,0,1,3.24,2.0,5.24,2.0,7.24,0,1.0,355.54315471458,355.54315471458
2031,METRO_DE_hannover,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_hannover__DIRECT,DIRECT,True,0,1,2.997,2.0,4.997,2.0,6.997,0,1.0,335.52597978426854,335.52597978426854
2031,METRO_DE_duisburg,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_duisburg__DIRECT,DIRECT,True,0,1,0.684,2.0,2.684,2.0,4.684,0,1.0,332.6663833656526,332.6663833656526
2031,METRO_DE_nuernberg,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_nuernberg__VIA_RELAY,VIA_RELAY,True,1,1,4.04,3.0,7.04,2.0,9.04,0,1.0,327.9003893346261,327.9003893346261
2031,METRO_DE_wandsbek,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_wandsbek__VIA_RELAY,VIA_RELAY,True,1,1,5.257,3.0,8.257,2.0,10.257,0,1.0,259.2700752878439,259.2700752878439
2031,METRO_DE_bochum,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_bochum__DIRECT,DIRECT,True,0,1,0.765,2.0,2.765,2.0,4.765000000000001,0,1.0,239.25290035753238,239.25290035753238
2031,METRO_DE_bochum_hordel,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_bochum_hordel__DIRECT,DIRECT,True,0,1,0.782,2.0,2.782,2.0,4.782,0,1.0,237.34650274512177,237.34650274512177
2031,METRO_DE_mannheim,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_mannheim__DIRECT,DIRECT,True,0,1,2.322,2.0,4.322,2.0,6.322,0,1.0,221.14212303963154,221.14212303963154
2031,METRO_DE_wuppertal,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_wuppertal__DIRECT,DIRECT,True,0,1,0.462,2.0,2.462,2.0,4.462,0,1.0,216.37612900860498,216.37612900860498
2031,METRO_DE_bielefeld,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_bielefeld__DIRECT,DIRECT,True,0,1,1.971,2.0,3.971,2.0,5.971,0,1.0,208.75053855896255,208.75053855896255
2031,METRO_DE_karlsruhe,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_karlsruhe__DIRECT,DIRECT,True,0,1,2.854,2.0,4.854,2.0,6.854,0,1.0,203.03134572173067,203.03134572173067
2031,METRO_DE_bonn,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_bonn__DIRECT,DIRECT,True,0,1,0.292,2.0,2.292,2.0,4.292,0,1.0,199.21855049690944,199.21855049690944
2031,METRO_DE_marienthal,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_marienthal__VIA_RELAY,VIA_RELAY,True,1,1,5.235,3.0,8.235,2.0,10.235,0,1.0,183.0141707914192,183.0141707914192
2031,METRO_DE_hamburg_nord,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_hamburg_nord__VIA_RELAY,VIA_RELAY,True,1,1,5.254,3.0,8.254,2.0,10.254,0,1.0,184.92056840382983,184.92056840382983
2031,METRO_DE_wiesbaden,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_wiesbaden__DIRECT,DIRECT,True,0,1,1.582,2.0,3.582,2.0,5.582,0,1.0,174.43538153557142,174.43538153557142
2031,METRO_DE_muenster,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_muenster__DIRECT,DIRECT,True,0,1,1.484,2.0,3.484,2.0,5.484,0,1.0,182.06097198521388,182.06097198521388
2031,METRO_DE_gelsenkirchen,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_gelsenkirchen__DIRECT,DIRECT,True,0,1,0.773,2.0,2.773,2.0,4.773,0,1.0,168.71618869833958,168.71618869833958
2031,METRO_DE_aachen,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_aachen__DIRECT,DIRECT,True,0,1,0.759,2.0,2.759,2.0,4.759,0,1.0,172.52898392316084,172.52898392316084
2031,METRO_DE_moenchengladbach,metro,METRO_250K-1M,250K-1M,DE,CAND_DE_koeln,CAND_DE_koeln__METRO_DE_moenchengladbach__DIRECT,DIRECT,True,0,1,0.543,2.0,2.543,2.0,4.543,0,1.0,165.85659227972366,165.85659227972366
