dc_id,annual_units,mean_peak_daily_units,p50_peak_daily_units,p95_peak_daily_units,p99_peak_daily_units,throughput_cap_pallets,storage_positions,dc_fixed_cost_eur,dc_storage_cost_eur,dc_throughput_cost_eur,dc_pick_cost_eur,dc_total_cost_eur
CAND_DE_koeln,154483.0,6684.0,6684.0,6684.0,6684.0,2230,988,600000,108680,55750,463449.0,1459611.0
CAND_ES_madrid,34492.0,1492.0,1492.0,1492.0,1492.0,498,221,600000,24310,12450,103475.0,791976.0
CAND_IT_rome,61016.0,2640.0,2640.0,2640.0,2640.0,882,391,600000,43010,22050,183047.0,939637.0
CAND_PL_lodz,85421.0,3696.0,3696.0,3696.0,3696.0,1234,547,600000,60170,30850,256262.0,1075415.0
