dc_id,annual_units,mean_peak_daily_units,p50_peak_daily_units,p95_peak_daily_units,p99_peak_daily_units,throughput_cap_pallets,storage_positions,dc_fixed_cost_eur,dc_storage_cost_eur,dc_throughput_cost_eur,dc_pick_cost_eur,dc_total_cost_eur
CAND_DE_koeln,102079.0,4417.0,4417.0,4417.0,4417.0,1474,653,600000,71830,36850,306236.0,1168042.0
CAND_ES_madrid,21968.0,951.0,951.0,951.0,951.0,318,141,600000,15510,7950,65904.0,722322.0
CAND_IT_rome,33715.0,1459.0,1459.0,1459.0,1459.0,488,216,600000,23760,12200,101144.0,787684.0
CAND_PL_lodz,48824.0,2113.0,2113.0,2113.0,2113.0,706,313,600000,34430,17650,146472.0,871794.0
