node_id,origin_dc,service_mode,pop_bracket,pi_promise_hr,mean_drive_hr,road_km,attainment_rate,p5_elapsed_hr,p50_elapsed_hr,p95_elapsed_hr,promise_gap_hr
METRO_PL_krakow,CAND_PL_lodz,DIRECT,250K-1M,2.0,2.314,192.8,0.0,4.468,4.646,5.193,2.646
METRO_PL_lublin,CAND_PL_lodz,DIRECT,250K-1M,2.0,2.66,221.7,0.0,4.272,4.5,4.849,2.5
METRO_PL_mokotow,CAND_PL_lodz,DIRECT,<250K,1.0,1.401,116.8,0.0,3.436,3.595,3.798,2.595
METRO_PL_olsztyn,CAND_PL_lodz,DIRECT,<250K,1.0,2.805,233.7,0.0,4.249,4.965,5.42,3.965
METRO_PL_poznan,CAND_PL_lodz,DIRECT,250K-1M,2.0,2.252,187.6,0.0,3.811,4.386,4.52,2.386
METRO_PL_praga_poludnie,CAND_PL_lodz,DIRECT,<250K,1.0,1.467,122.2,0.0,3.057,3.254,3.714,2.254
METRO_PL_radom,CAND_PL_lodz,DIRECT,<250K,1.0,1.472,122.6,0.0,2.98,3.345,3.844,2.345
METRO_PL_sosnowiec,CAND_PL_lodz,DIRECT,<250K,1.0,2.004,167.0,0.0,3.7,4.168,4.443,3.168
METRO_PL_szczecin,CAND_PL_lodz,VIA_RELAY,250K-1M,2.0,4.559,380.0,0.0,6.618,7.376,8.045,5.376
METRO_PL_torun,CAND_PL_lodz,DIRECT,<250K,1.0,1.805,150.5,0.0,3.357,3.946,4.339,2.946
METRO_PL_warsaw,CAND_PL_lodz,DIRECT,1M+,4.0,1.404,117.0,1.0,3.315,3.791,3.913,-0.209
METRO_PL_wroclaw,CAND_PL_lodz,DIRECT,250K-1M,2.0,2.218,184.9,0.0,3.81,4.479,4.753,2.479
METRO_PL_zabrze,CAND_PL_lodz,DIRECT,<250K,1.0,2.014,167.8,0.0,3.762,4.126,4.382,3.126
METRO_SE_gothenburg,CAND_PL_lodz,VIA_RELAY,250K-1M,2.0,9.815,817.9,0.0,12.318,13.352,14.08,11.352
METRO_SE_malmo,CAND_PL_lodz,VIA_RELAY,250K-1M,2.0,7.231,602.6,0.0,9.384,10.313,11.049,8.313
METRO_SE_stockholm,CAND_PL_lodz,VIA_RELAY,1M+,4.0,10.317,859.7,0.0,12.745,13.548,14.809,9.548
