node_id,origin_dc,service_mode,pop_bracket,pi_promise_hr,mean_drive_hr,road_km,attainment_rate,p5_elapsed_hr,p50_elapsed_hr,p95_elapsed_hr,promise_gap_hr
METRO_AT_donaustadt,CAND_PL_lodz,VIA_RELAY,<250K,1.0,5.5,458.3,0.0,7.766,8.021,8.942,7.021
METRO_AT_favoriten,CAND_PL_lodz,VIA_RELAY,<250K,1.0,5.498,458.1,0.0,8.117,8.618,9.439,7.618
METRO_AT_graz,CAND_PL_lodz,VIA_RELAY,<250K,1.0,7.18,598.4,0.0,9.147,9.97,11.457,8.97
METRO_AT_linz,CAND_PL_lodz,VIA_RELAY,<250K,1.0,6.41,534.2,0.0,8.568,9.438,9.861,8.438
METRO_AT_vienna,CAND_PL_lodz,VIA_RELAY,1M+,4.0,5.543,461.9,0.0,8.459,8.887,9.524,4.887
METRO_BE_antwerp,CAND_DE_koeln,DIRECT,1M+,4.0,2.169,180.7,0.2,3.662,4.279,4.634,0.279
METRO_BE_brussels,CAND_DE_koeln,DIRECT,1M+,4.0,2.192,182.7,0.0,4.079,4.269,4.731,0.269
METRO_BE_charleroi,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.23,185.8,0.0,3.737,4.157,4.618,2.157
METRO_BE_gent,CAND_DE_koeln,DIRECT,250K-1M,2.0,2.72,226.6,0.0,4.311,4.847,5.105,2.847
METRO_BE_liege,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.233,102.7,0.0,3.244,3.415,3.676,1.415
METRO_BG_burgas,CAND_IT_rome,VIA_RELAY,<250K,1.0,15.534,1294.5,0.0,19.217,20.111,23.325,19.111
METRO_BG_plovdiv,CAND_IT_rome,VIA_RELAY,250K-1M,2.0,12.811,1067.6,0.0,14.013,15.085,15.514,13.085
METRO_BG_sofia,CAND_IT_rome,VIA_RELAY,1M+,4.0,10.769,897.4,0.0,12.668,13.584,14.174,9.584
METRO_BG_varna,CAND_PL_lodz,VIA_RELAY,250K-1M,2.0,13.741,1145.0,0.0,19.144,19.384,20.443,17.384
METRO_CH_basel,CAND_DE_koeln,VIA_RELAY,250K-1M,2.0,4.536,378.0,0.0,7.261,8.006,8.331,6.006
METRO_CH_bern,CAND_DE_koeln,VIA_RELAY,250K-1M,2.0,5.335,444.6,0.0,8.206,8.76,8.99,6.76
METRO_CH_geneva,CAND_DE_koeln,VIA_RELAY,250K-1M,2.0,6.353,529.4,0.0,8.314,9.198,10.785,7.198
METRO_CH_lausanne,CAND_DE_koeln,VIA_RELAY,250K-1M,2.0,6.169,514.0,0.0,8.589,9.52,9.811,7.52
METRO_CH_zurich,CAND_DE_koeln,VIA_RELAY,1M+,4.0,4.959,413.3,0.0,7.225,7.696,8.604,3.696
METRO_CZ_brno,CAND_PL_lodz,VIA_RELAY,250K-1M,2.0,4.21,350.8,0.0,7.14,7.357,8.407,5.357
METRO_CZ_ostrava,CAND_PL_lodz,DIRECT,250K-1M,2.0,2.772,231.0,0.0,4.189,4.666,5.08,2.666
METRO_CZ_pilsen,CAND_DE_koeln,VIA_RELAY,<250K,1.0,5.696,474.6,0.0,8.754,9.125,9.381,8.125
METRO_CZ_prague,CAND_PL_lodz,VIA_RELAY,1M+,4.0,4.81,400.9,0.0,7.507,7.863,8.338,3.863
METRO_DE_aachen,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.759,63.3,0.0,2.363,2.553,3.148,0.553
METRO_DE_altona,CAND_DE_koeln,VIA_RELAY,250K-1M,2.0,5.197,433.0,0.0,7.431,8.542,8.648,6.542
METRO_DE_augsburg,CAND_DE_koeln,VIA_RELAY,250K-1M,2.0,4.828,402.3,0.0,7.052,8.027,8.767,6.027
METRO_DE_berlin,CAND_PL_lodz,VIA_RELAY,1M+,4.0,5.103,425.2,0.0,7.391,7.875,8.712,3.875
METRO_DE_bielefeld,CAND_DE_koeln,DIRECT,250K-1M,2.0,1.971,164.2,0.0,3.604,3.719,4.385,1.719
METRO_DE_bochum,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.765,63.7,0.0,2.762,2.944,3.158,0.944
METRO_DE_bochum_hordel,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.782,65.1,0.0,2.377,2.505,2.915,0.505
METRO_DE_bonn,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.292,24.4,0.0,2.24,2.385,2.534,0.385
METRO_DE_braunschweig,CAND_DE_koeln,DIRECT,<250K,1.0,3.456,288.0,0.0,5.233,5.7,6.248,4.7
METRO_DE_bremen,CAND_DE_koeln,DIRECT,250K-1M,2.0,3.24,270.0,0.0,5.143,5.563,5.748,3.563
METRO_DE_chemnitz,CAND_DE_koeln,VIA_RELAY,<250K,1.0,5.034,419.5,0.0,7.843,8.44,8.996,7.44
METRO_DE_dortmund,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.888,74.0,0.0,2.53,2.699,3.258,0.699
METRO_DE_dresden,CAND_PL_lodz,VIA_RELAY,250K-1M,2.0,4.868,405.6,0.0,7.247,7.978,8.267,5.978
METRO_DE_duesseldorf,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.411,34.3,0.0,2.025,2.245,2.62,0.245
METRO_DE_duisburg,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.684,57.0,0.0,2.325,2.436,3.178,0.436
METRO_DE_eimsbuettel,CAND_DE_koeln,VIA_RELAY,250K-1M,2.0,5.231,435.9,0.0,8.048,8.356,9.485,6.356
METRO_DE_erfurt,CAND_DE_koeln,DIRECT,<250K,1.0,3.432,286.0,0.0,5.217,5.809,6.276,4.809
METRO_DE_essen,CAND_DE_koeln,DIRECT,250K-1M,2.0,0.7,58.4,0.0,2.86,3.022,3.098,1.022
