dc_id,annual_units,mean_peak_daily_units,p50_peak_daily_units,p95_peak_daily_units,p99_peak_daily_units,throughput_cap_pallets,storage_positions,dc_fixed_cost_eur,dc_storage_cost_eur,dc_throughput_cost_eur,dc_pick_cost_eur,dc_total_cost_eur
CAND_DE_koeln,50689.0,1521.0,1522.0,1889.0,2009.0,630,325,600000,35750,15750,152067.0,879599.0
CAND_PL_lodz,18215.0,546.0,543.0,672.0,735.0,226,117,600000,12870,5650,54645.0,700480.0
