node_id,pop_bracket,pi_promise_hr,drive_time_hr,mean_drive_hr,road_km,attainment_rate,p5_elapsed_hr,p50_elapsed_hr,p95_elapsed_hr,nonpi_otd_est_hr,otd_saving_hr
METRO_BE_brussels,1M+,4.0,2.192,2.192,219.2,0.994,2.8,3.202,3.702,10.192,6.99
METRO_BE_antwerp,1M+,4.0,2.169,2.169,216.9,0.994,2.768,3.167,3.665,10.169,7.002
METRO_BE_liege,250K-1M,2.0,1.233,1.233,123.3,0.097,1.952,2.236,2.585,9.233,6.997
METRO_BE_gent,250K-1M,2.0,2.72,2.72,272.0,0.0,3.245,3.724,4.338,10.72,6.996
METRO_BE_charleroi,250K-1M,2.0,2.23,2.23,223.0,0.0,2.834,3.238,3.723,10.23,6.992
METRO_DE_frankfurt_am_main,250K-1M,2.0,1.832,1.832,183.2,0.0,2.473,2.831,3.218,9.832,7.001
METRO_DE_duesseldorf,250K-1M,2.0,0.411,0.411,41.2,1.0,1.183,1.413,1.645,8.411,6.998
METRO_DE_stuttgart,250K-1M,2.0,3.45,3.45,345.0,0.0,3.931,4.466,5.158,11.45,6.984
METRO_DE_dortmund,250K-1M,2.0,0.888,0.888,88.8,0.694,1.611,1.892,2.183,8.888,6.996
METRO_DE_essen,250K-1M,2.0,0.7,0.7,70.0,0.967,1.445,1.692,1.966,8.7,7.008
METRO_DE_bremen,250K-1M,2.0,3.24,3.24,324.0,0.0,3.73,4.24,4.941,11.24,7.0
METRO_DE_hannover,250K-1M,2.0,2.997,2.997,299.7,0.0,3.506,3.983,4.64,10.997,7.014
METRO_DE_duisburg,250K-1M,2.0,0.684,0.684,68.4,0.981,1.436,1.687,1.947,8.684,6.997
METRO_DE_bochum,250K-1M,2.0,0.765,0.765,76.5,0.931,1.524,1.778,2.019,8.765,6.987
METRO_DE_bochum_hordel,250K-1M,2.0,0.782,0.782,78.2,0.892,1.525,1.79,2.058,8.782,6.992
METRO_DE_mannheim,250K-1M,2.0,2.322,2.322,232.2,0.0,2.917,3.32,3.84,10.322,7.002
METRO_DE_wuppertal,250K-1M,2.0,0.462,0.462,46.2,1.0,1.229,1.457,1.701,8.462,7.005
METRO_DE_bielefeld,250K-1M,2.0,1.971,1.971,197.1,0.0,2.608,2.984,3.457,9.971,6.987
METRO_DE_karlsruhe,250K-1M,2.0,2.854,2.854,285.4,0.0,3.401,3.872,4.483,10.854,6.982
METRO_DE_bonn,250K-1M,2.0,0.292,0.292,29.2,1.0,1.062,1.294,1.522,8.292,6.998
METRO_DE_wiesbaden,250K-1M,2.0,1.582,1.582,158.2,0.001,2.264,2.603,2.981,9.582,6.979
METRO_DE_muenster,250K-1M,2.0,1.484,1.484,148.4,0.005,2.192,2.501,2.864,9.484,6.983
METRO_DE_gelsenkirchen,250K-1M,2.0,0.773,0.773,77.3,0.913,1.501,1.767,2.041,8.773,7.006
METRO_DE_aachen,250K-1M,2.0,0.759,0.759,75.9,0.912,1.512,1.766,2.036,8.759,6.993
METRO_DE_moenchengladbach,250K-1M,2.0,0.543,0.543,54.3,1.0,1.308,1.552,1.811,8.543,6.991
METRO_DE_braunschweig,<250K,1.0,3.456,3.456,345.6,0.0,3.9,4.437,5.124,11.456,7.019
METRO_DE_krefeld,<250K,1.0,0.632,0.632,63.2,0.0,1.396,1.646,1.879,8.632,6.986
METRO_DE_oberhausen,<250K,1.0,0.731,0.731,73.1,0.0,1.465,1.727,2.001,8.731,7.004
METRO_DE_freiburg,<250K,1.0,3.997,3.997,399.7,0.0,4.349,5.004,5.832,11.997,6.993
METRO_DE_erfurt,<250K,1.0,3.432,3.432,343.2,0.0,3.903,4.449,5.133,11.432,6.983
METRO_DE_hagen,<250K,1.0,0.718,0.718,71.8,0.0,1.467,1.73,1.977,8.718,6.988
METRO_DE_kassel,<250K,1.0,2.196,2.196,219.6,0.0,2.804,3.189,3.677,10.196,7.007
METRO_DE_hamm,<250K,1.0,1.233,1.233,123.3,0.0,1.942,2.241,2.552,9.233,6.992
METRO_DE_mainz,<250K,1.0,1.697,1.697,169.7,0.0,2.348,2.706,3.122,9.697,6.991
METRO_DE_saarbruecken,<250K,1.0,2.27,2.27,227.0,0.0,2.88,3.287,3.776,10.27,6.983
METRO_DE_herne,<250K,1.0,0.84,0.84,84.0,0.0,1.576,1.84,2.118,8.84,7.0
METRO_DE_muelheim,<250K,1.0,0.668,0.668,66.8,0.0,1.421,1.678,1.933,8.668,6.99
METRO_DE_osnabrueck,<250K,1.0,2.006,2.006,200.6,0.0,2.63,3.025,3.48,10.006,6.981
METRO_DE_solingen,<250K,1.0,0.34,0.34,34.0,0.0,1.114,1.345,1.58,8.34,6.995
METRO_NL_amsterdam,1M+,4.0,2.57,2.57,257.0,0.9,3.136,3.582,4.121,10.57,6.988
METRO_NL_rotterdam,1M+,4.0,2.443,2.443,244.3,0.955,2.998,3.453,3.977,10.443,6.99
METRO_NL_the_hague,250K-1M,2.0,2.679,2.679,267.9,0.0,3.251,3.693,4.219,10.679,6.986
METRO_NL_utrecht,250K-1M,2.0,2.165,2.165,216.5,0.0,2.787,3.182,3.647,10.165,6.983
METRO_NL_eindhoven,250K-1M,2.0,1.405,1.405,140.5,0.005,2.094,2.424,2.785,9.405,6.981
METRO_NL_tilburg,<250K,1.0,1.761,1.761,176.0,0.0,2.419,2.754,3.159,9.761,7.007
METRO_NL_groningen,<250K,1.0,3.066,3.066,306.6,0.0,3.558,4.067,4.784,11.066,6.999
METRO_NL_almere_stad,<250K,1.0,2.396,2.396,239.6,0.0,3.001,3.415,3.925,10.396,6.981
METRO_NL_breda,<250K,1.0,2.014,2.014,201.4,0.0,2.637,3.021,3.491,10.014,6.993
METRO_FR_lille,1M+,4.0,3.307,3.307,330.7,0.147,3.785,4.349,5.065,11.307,6.958
METRO_FR_strasbourg,250K-1M,2.0,3.209,3.209,320.9,0.0,3.663,4.222,4.841,11.209,6.987
METRO_FR_bethune,250K-1M,2.0,3.684,3.684,368.4,0.0,4.114,4.689,5.476,11.684,6.995
METRO_FR_valenciennes,250K-1M,2.0,2.994,2.994,299.4,0.0,3.517,3.99,4.583,10.994,7.004
METRO_FR_reims,<250K,1.0,3.358,3.358,335.8,0.0,3.839,4.382,5.109,11.358,6.976
METRO_LU_luxembourg,<250K,1.0,1.897,1.897,189.7,0.0,2.558,2.902,3.339,9.897,6.995
METRO_PL_warsaw,1M+,4.0,1.404,1.404,140.4,1.0,2.098,2.413,2.767,9.404,6.991
METRO_PL_krakow,250K-1M,2.0,2.314,2.314,231.4,0.0,2.903,3.328,3.852,10.314,6.986
METRO_PL_wroclaw,250K-1M,2.0,2.218,2.218,221.8,0.0,2.808,3.233,3.701,10.218,6.985
METRO_PL_poznan,250K-1M,2.0,2.252,2.252,225.2,0.0,2.849,3.246,3.764,10.252,7.006
