year,lane_id,lane_type,truck_class,road_km,drive_time_hr,relay_flag,annual_flow,transport_cost_eur,co2_kg
2032,PORT_NL_rotterdam__CAND_DE_koeln,PORT_DC,L,244.27,2.443,False,0.0,0.0,0.0
2032,PORT_NL_rotterdam__CAND_PL_lodz,PORT_DC,L,1234.02,12.34,False,0.0,0.0,0.0
2032,PORT_NL_rotterdam__CAND_ES_madrid,PORT_DC,L,1708.81,17.088,False,0.0,0.0,0.0
2032,PORT_NL_rotterdam__CAND_IT_rome,PORT_DC,L,1523.47,15.235,False,0.0,0.0,0.0
2032,CAND_DE_koeln__CAND_PL_lodz,DC_DC,L,1048.32,10.483,False,882.0,177218.5,95543.9
2032,CAND_PL_lodz__CAND_DE_koeln,DC_DC,L,1048.32,10.483,False,705.0,142257.02,76695.1
2032,CAND_DE_koeln__CAND_ES_madrid,DC_DC,L,1715.43,17.154,True,882.0,289993.44,156344.3
2032,CAND_ES_madrid__CAND_DE_koeln,DC_DC,L,1715.43,17.154,True,611.0,201219.94,108483.8
2032,CAND_DE_koeln__CAND_IT_rome,DC_DC,L,1309.5,13.095,True,882.0,221370.98,119347.8
2032,CAND_IT_rome__CAND_DE_koeln,DC_DC,L,1309.5,13.095,True,661.0,167157.67,90119.8
2032,CAND_PL_lodz__CAND_ES_madrid,DC_DC,L,2607.32,26.073,True,705.0,353813.32,190751.5
2032,CAND_ES_madrid__CAND_PL_lodz,DC_DC,L,2607.32,26.073,True,611.0,305838.64,164886.9
2032,CAND_PL_lodz__CAND_IT_rome,DC_DC,L,1461.79,14.618,True,705.0,198364.9,106944.6
2032,CAND_IT_rome__CAND_PL_lodz,DC_DC,L,1461.79,14.618,True,661.0,186597.49,100600.4
2032,CAND_ES_madrid__CAND_IT_rome,DC_DC,L,1638.33,16.383,True,611.0,192176.11,103608.0
2032,CAND_IT_rome__CAND_ES_madrid,DC_DC,L,1638.33,16.383,True,661.0,209132.82,112749.9
2032,CAND_DE_koeln__METRO_BE_brussels,DC_HUB_DIRECT,M,219.21,2.192,False,882.0,24167.9,13211.8
2032,CAND_DE_koeln__METRO_BE_antwerp,DC_HUB_DIRECT,M,216.87,2.169,False,882.0,23909.92,13070.8
