node_id,node_type,country,cca2,city,lat,lng
METRO_LT_klaipeda,metro,Lithuania,LT,Klaipeda,55.7089,21.1431
METRO_NO_oslo,metro,Norway,NO,Oslo,59.9127,10.7461
METRO_NO_bergen,metro,Norway,NO,Bergen,60.393,5.32415
METRO_PL_warsaw,metro,Poland,PL,Warsaw,52.2298,21.0118
METRO_PL_krakow,metro,Poland,PL,Krakow,50.0614,19.9366
METRO_PL_lodz,metro,Poland,PL,Lodz,51.7706,19.4739
METRO_PL_wroclaw,metro,Poland,PL,Wroclaw,51.1,17.0333
METRO_PL_poznan,metro,Poland,PL,Poznan,52.4069,16.9299
METRO_PL_gdansk,metro,Poland,PL,Gdansk,54.3521,18.6464
METRO_PL_szczecin,metro,Poland,PL,Szczecin,53.4289,14.553
METRO_PL_bydgoszcz,metro,Poland,PL,Bydgoszcz,53.1235,18.0076
METRO_PL_lublin,metro,Poland,PL,Lublin,51.25,22.5667
METRO_PL_katowice,metro,Poland,PL,Katowice,50.2584,19.0275
METRO_PL_bialystok,metro,Poland,PL,Bialystok,53.1333,23.1643
METRO_PL_gdynia,metro,Poland,PL,Gdynia,54.5189,18.5319
METRO_PL_czestochowa,metro,Poland,PL,Czestochowa,50.7965,19.1241
METRO_PL_sosnowiec,metro,Poland,PL,Sosnowiec,50.2868,19.1038
METRO_PL_radom,metro,Poland,PL,Radom,51.4025,21.1471
METRO_PL_mokotow,metro,Poland,PL,Mokotow,52.1934,21.0349
METRO_PL_torun,metro,Poland,PL,Torun,53.0137,18.5981
METRO_PL_kielce,metro,Poland,PL,Kielce,50.8703,20.6275
METRO_PL_gliwice,metro,Poland,PL,Gliwice,50.2976,18.6766
METRO_PL_zabrze,metro,Poland,PL,Zabrze,50.3249,18.7858
METRO_PL_bytom,metro,Poland,PL,Bytom,50.348,18.9328
METRO_PL_praga_poludnie,metro,Poland,PL,Praga Poludnie,52.2442,21.0854
METRO_PL_bielsko_biala,metro,Poland,PL,Bielsko-Biala,49.8224,19.0469
METRO_PL_olsztyn,metro,Poland,PL,Olsztyn,53.7799,20.4942
METRO_SE_stockholm,metro,Sweden,SE,Stockholm,59.3326,18.0649
METRO_SE_gothenburg,metro,Sweden,SE,Gothenburg,57.7072,11.9668
METRO_SE_malmo,metro,Sweden,SE,Malmo,55.6059,13.0007
METRO_AT_vienna,metro,Austria,AT,Vienna,48.2085,16.3721
METRO_AT_graz,metro,Austria,AT,Graz,47.0667,15.45
METRO_AT_linz,metro,Austria,AT,Linz,48.3064,14.2861
METRO_AT_favoriten,metro,Austria,AT,Favoriten,48.1612,16.3823
METRO_AT_donaustadt,metro,Austria,AT,Donaustadt,48.2333,16.46
METRO_FR_paris,metro,France,FR,Paris,48.8534,2.3488
METRO_FR_lyon,metro,France,FR,Lyon,45.7485,4.84671
METRO_FR_marseille,metro,France,FR,Marseille,43.297,5.38107
METRO_FR_lille,metro,France,FR,Lille,50.633,3.05858
METRO_FR_toulouse,metro,France,FR,Toulouse,43.6043,1.44367
METRO_FR_bordeaux,metro,France,FR,Bordeaux,44.8404,-0.5805
METRO_FR_nice,metro,France,FR,Nice,43.7031,7.26608
METRO_FR_nantes,metro,France,FR,Nantes,47.2173,-1.55336
METRO_FR_toulon,metro,France,FR,Toulon,43.1244,5.92836
METRO_FR_grenoble,metro,France,FR,Grenoble,45.1716,5.72239
METRO_FR_strasbourg,metro,France,FR,Strasbourg,48.5839,7.74553
METRO_FR_montpellier,metro,France,FR,Montpellier,43.6109,3.87723
METRO_FR_avignon,metro,France,FR,Avignon,43.9483,4.80892
METRO_FR_rouen,metro,France,FR,Rouen,49.4431,1.09932
METRO_FR_saint_etienne,metro,France,FR,Saint-Etienne,45.4339,4.39
METRO_FR_rennes,metro,France,FR,Rennes,48.112,-1.67429
METRO_FR_tours,metro,France,FR,Tours,47.3948,0.70398
METRO_FR_bethune,metro,France,FR,Bethune,50.5333,2.63333
METRO_FR_valenciennes,metro,France,FR,Valenciennes,50.35,3.53333
METRO_FR_reims,metro,France,FR,Reims,49.25,4.03333
METRO_FR_le_havre,metro,France,FR,Le Havre,49.4938,0.10767
METRO_FR_cergy_pontoise,metro,France,FR,Cergy-Pontoise,49.0389,2.07805
METRO_FR_angers,metro,France,FR,Angers,47.4738,-0.54774
METRO_IE_dublin,metro,Ireland,IE,Dublin,53.3331,-6.24889
METRO_IE_cork,metro,Ireland,IE,Cork,51.898,-8.47061
METRO_IE_dun_laoghaire,metro,Ireland,IE,Dun Laoghaire,53.2939,-6.13586
METRO_IT_rome,metro,Italy,IT,Rome,41.8919,12.5113
METRO_IT_milan,metro,Italy,IT,Milan,45.4643,9.18951
METRO_IT_naples,metro,Italy,IT,Naples,40.8522,14.2681
METRO_IT_turin,metro,Italy,IT,Turin,45.0705,7.68682
METRO_IT_bergamo,metro,Italy,IT,Bergamo,45.696,9.66721
METRO_IT_palermo,metro,Italy,IT,Palermo,38.132,13.3356
METRO_IT_bologna,metro,Italy,IT,Bologna,44.4938,11.3387
METRO_IT_florence,metro,Italy,IT,Florence,43.7793,11.2463
METRO_IT_padova,metro,Italy,IT,Padova,45.408,11.8859
METRO_IT_genoa,metro,Italy,IT,Genoa,44.4048,8.94439
METRO_IT_busto_arsizio,metro,Italy,IT,Busto Arsizio,45.6113,8.84914
