  ,node_id,assigned_cand,t_base_hr,units
2027,METRO_BE_brussels,CAND_DE_koeln,2.192080312,540
2027,METRO_BE_antwerp,CAND_DE_koeln,2.168730063,268
2027,METRO_BE_liege,CAND_DE_koeln,1.232925711,173
2027,METRO_BE_gent,CAND_DE_koeln,2.719843547,121
2027,METRO_BE_charleroi,CAND_DE_koeln,2.230151033,105
2027,METRO_DE_berlin,CAND_DE_koeln,5.743456148,897
2027,METRO_DE_hamburg,CAND_DE_koeln,4.323124437,448
2027,METRO_DE_munich,CAND_DE_koeln,5.471794971,400
2027,METRO_DE_koeln,CAND_DE_koeln,0,242
2027,METRO_DE_frankfurt_am_main,CAND_DE_koeln,1.831562636,166
2027,METRO_DE_duesseldorf,CAND_DE_koeln,0.4114939,161
2027,METRO_DE_stuttgart,CAND_DE_koeln,3.450423452,160
2027,METRO_DE_leipzig,CAND_DE_koeln,4.570199404,153
2027,METRO_DE_dresden,CAND_DE_koeln,5.701427932,150
2027,METRO_DE_dortmund,CAND_DE_koeln,0.887796304,148
2027,METRO_DE_essen,CAND_DE_koeln,0.700198958,145
2027,METRO_DE_bremen,CAND_DE_koeln,3.239641245,143
2027,METRO_DE_hannover,CAND_DE_koeln,2.997415602,135
2027,METRO_DE_duisburg,CAND_DE_koeln,0.683807755,133
2027,METRO_DE_nuernberg,CAND_DE_koeln,4.039801255,126
2027,METRO_DE_wandsbek,CAND_DE_koeln,4.36384593,103
2027,METRO_DE_bochum,CAND_DE_koeln,0.764907729,96
2027,METRO_DE_bochum_hordel,CAND_DE_koeln,0.781523689,95
2027,METRO_DE_mannheim,CAND_DE_koeln,2.321838089,88
2027,METRO_DE_wuppertal,CAND_DE_koeln,0.461875759,87
2027,METRO_DE_bielefeld,CAND_DE_koeln,1.971032114,84
2027,METRO_DE_karlsruhe,CAND_DE_koeln,2.854364445,81
2027,METRO_DE_bonn,CAND_DE_koeln,0.292352573,80
2027,METRO_DE_marienthal,CAND_DE_koeln,4.346353532,72
2027,METRO_DE_hamburg_nord,CAND_DE_koeln,4.323561785,71
2027,METRO_DE_wiesbaden,CAND_DE_koeln,1.582430804,69
2027,METRO_DE_muenster,CAND_DE_koeln,1.483675152,69
2027,METRO_DE_gelsenkirchen,CAND_DE_koeln,0.772741568,68
2027,METRO_DE_aachen,CAND_DE_koeln,0.759313624,67
2027,METRO_DE_moenchengladbach,CAND_DE_koeln,0.543010145,66
2027,METRO_DE_augsburg,CAND_DE_koeln,4.827768955,66
2027,METRO_DE_eimsbuettel,CAND_DE_koeln,4.294472213,63
2027,METRO_DE_altona,CAND_DE_koeln,4.257425944,63
2027,METRO_DE_chemnitz,CAND_DE_koeln,5.033689449,62
